年度,類別,獎項,得獎名單
105,個人獎,迷你劇集／電視電影男主角獎,李天柱／公視人生劇展-再見女兒（報名單位：登峯造極電影製作事業有限公司、製作單位：登峯造極電影製作事業有限公司）
105,個人獎,迷你劇集／電視電影女主角獎,尹馨／川流之島（報名單位：中國電視事業股份有限公司、製作單位：瀚草影視文化事業股份有限公司）
105,個人獎,迷你劇集／電視電影男配角獎,藍葦華／客家電視電影院－黑盒子（報名單位：客家電視台、製作單位：爾傑國際娛樂事業股份有限公司）
105,個人獎,迷你劇集／電視電影女配角獎,王琄／公視人生劇展-再見女兒（報名單位：登峯造極電影製作事業有限公司、製作單位：登峯造極電影製作事業有限公司）
105,個人獎,迷你劇集／電視電影新進演員獎,仔仔【陳鼎中】／川流之島（報名單位：中國電視事業股份有限公司、製作單位：瀚草影視文化事業股份有限公司）
105,個人獎,戲劇節目導演獎,曹瑞原／一把青（報名單位：財團法人公共電視文化事業基金會、製作單位：台北創造電影有限公司）
105,個人獎,迷你劇集／電視電影導演獎,詹京霖／川流之島（報名單位：中國電視事業股份有限公司、製作單位：瀚草影視文化事業股份有限公司）
105,個人獎,非戲劇類節目導演獎,柯金源／紀錄觀點海（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
105,個人獎,非戲劇類節目導播獎,宋建忠／花神祭（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
105,個人獎,戲劇節目編劇獎,鄭心媚、鄭文堂、楊惠文／燦爛時光（報名單位：綠光全傳播有限公司、製作單位：綠光全傳播有限公司）
105,個人獎,迷你劇集／電視電影編劇獎,詹京霖／川流之島（報名單位：中國電視事業股份有限公司、製作單位：瀚草影視文化事業股份有限公司）
105,個人獎,教育文化節目主持人獎,阿洛‧卡力亭‧巴奇辣／吹過島嶼的歌（報名單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
105,個人獎,兒童少年節目主持人獎,亞里【廖敏君】、黃靖倫／成語賽恩思（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
105,個人獎,行腳節目主持人獎,姚淳耀／在台灣的故事（報名單位：三立電視股份有限公司、製作單位：三立電視股份有限公司）
105,個人獎,綜藝節目主持人獎,吳宗憲、吳姍儒／小明星大跟班（報名單位：中天電視股份有限公司、製作單位：金星娛樂事業股份有限公司）
105,個人獎,綜合節目主持人獎,黃湘婷／客家熱點子（報名單位：客家電視台、製作單位：動能意像製作有限公司)
105,個人獎,攝影獎,趙冠衡／公視人生劇展-衣櫃裡的貓（報名單位：一顆星工作室有限公司、製作單位：一顆星工作室有限公司）
105,個人獎,剪輯獎,李俊宏／公視人生劇展-衣櫃裡的貓（報名單位：一顆星工作室有限公司、製作單位：一顆星工作室有限公司）
105,個人獎,音效獎,王敏旭、陳灉、蔣震道、許嵐婷、Thomas Foguenne福多瑪／公視人生劇展-衣櫃裡的貓（報名單位：一顆星工作室有限公司、製作單位：一顆星工作室有限公司）
105,個人獎,燈光獎,丁海德／一把青（報名單位：台北創造電影有限公司、製作單位：台北創造電影有限公司）
105,個人獎,美術設計獎,許英光、姚君、許淑華、嚴振欽／一把青（報名單位：台北創造電影有限公司、製作單位：台北創造電影有限公司）
105,節目創新獎,節目創新獎,全球中文音樂榜上榜（參賽單位：聯利媒體股份有限公司、製作單位：聯利媒體股份有限公司）
105,終身貢獻獎,終身貢獻獎,廖春梅女士（藝名：梅芳）龐宜安女士
106,節目獎,戲劇節目獎,植劇場《天黑請閉眼》（參賽單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司、製作單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司）
106,節目獎,迷你劇集獎,通靈少女（參賽單位：HBO Asia／財團法人公共電視文化事業基金會／IFA Media、製作單位：HBO Asia／財團法人公共電視文化事業基金會／IFA Media）
106,節目獎,電視電影獎,公視人生劇展--告別（參賽單位：興揚電影有限公司、製作單位：興揚電影有限公司）
106,節目獎,自然科學紀實節目獎,永不妥協-實驗室的挑戰故事（參賽單位：東臺傳播股份有限公司、製作單位：東臺傳播股份有限公司）
106,節目獎,人文紀實節目獎,我存在-原住民影像紀錄（參賽單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
106,節目獎,兒童少年節目獎,地球的孩子（參賽單位：財團法人慈濟傳播人文志業基金會、製作單位：財團法人慈濟傳播人文志業基金會）
106,節目獎,生活風格節目獎,我的No.1表情（參賽單位：客家電視台、製作單位：三腳貓影業有限公司）
106,節目獎,綜藝節目獎,舞力全開（參賽單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司）
106,節目獎,益智及實境節目獎,歡樂智多星（參賽單位：香港商福斯傳媒有限公司台灣分公司、製作單位：友松娛樂股份有限公司）
106,節目獎,動畫節目獎,我愛歡喜（參賽單位：人間電視股份有限公司、製作單位：人間電視股份有限公司）
106,個人獎,戲劇節目男主角獎,劉德凱／這些年 那些事（報名單位：中天電視股份有限公司、製作單位：豐禾多媒體傳播有限公司）
106,個人獎,戲劇節目女主角獎,柯淑勤／植劇場的第一季《戀愛沙塵暴》（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司）
106,個人獎,戲劇節目男配角獎,游安順／阿不拉的三個女人（報名單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司）
106,個人獎,戲劇節目女配角獎,孫可芳／植劇場《天黑請閉眼》（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司）
106,個人獎,戲劇節目新進演員獎,陳妤／植劇場的第一季《戀愛沙塵暴》（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司）
106,個人獎,迷你劇集（電視電影）男主角獎,傅孟柏／公視新創電影 最後的詩句（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,迷你劇集（電視電影）女主角獎,温貞菱／公視新創電影 最後的詩句（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,迷你劇集（電視電影）男配角獎,蔡振南／媽媽不見了（報名單位：民間全民電視股份有限公司、製作單位：民間全民電視股份有限公司／綠光全傳播有限公司）
106,個人獎,迷你劇集（電視電影）女配角獎,李千娜／通靈少女（報名單位：財團法人公共電視文化事業基金會、製作單位：HBO Asia／財團法人公共電視文化事業基金會／IFA Media）
106,個人獎,迷你劇集（電視電影）新進演員獎,林羽葶／公視人生劇展─數到十 讓我變成沈曉旭（報名單位：老灰狼影片製作有限公司、製作單位：老灰狼影片製作有限公司）
106,個人獎,戲劇節目導演獎,許肇任／酸甜之味（報名單位：聯利媒體股份有限公司、製作單位：聯利媒體股份有限公司）
106,個人獎,迷你劇集（電視電影）導演獎,許立達／公視人生劇展--告別（報名單位：興揚電影有限公司、製作單位：興揚電影有限公司）
106,個人獎,非戲劇類節目導演獎,吳米森／紀錄觀點（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,非戲劇類節目導播獎,黃慧娟／音樂萬萬歲3（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,戲劇節目編劇獎,杜政哲、楊惠文／酸甜之味（報名單位：聯利媒體股份有限公司、製作單位：聯利媒體股份有限公司）
106,個人獎,迷你劇集（電視電影）編劇獎,許立達／公視人生劇展--告別（報名單位：興揚電影有限公司、製作單位：興揚電影有限公司）
106,個人獎,自然科學紀實節目主持人獎,麥覺明／MIT台灣誌（報名單位：中國電視事業股份有限公司、製作單位：大麥影像傳播工作室）
106,個人獎,人文紀實節目主持人獎,陳耀忠／'aledet美味阿樂樂滋（報名單位：財團法人原住民族文化事業基金會、製作單位：財團法人原住民族文化事業基金會）
106,個人獎,兒童少年節目主持人獎,向日葵／小O事件簿（報名單位：客家電視台、製作單位：客家電視台）
106,個人獎,生活風格節目主持人獎,王浩一、劉克襄／浩克慢遊（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,綜藝節目主持人獎,小豬【羅志祥】、愷樂【簡愷樂】／娛樂百分百（報名單位：八大電視股份有限公司、製作單位：八大電視股份有限公司）
106,個人獎,益智及實境節目主持人獎,KID【林柏昇】、吳宗憲／綜藝玩很大（報名單位：三立電視股份有限公司、製作單位：好看娛樂製作股份有限公司）
106,個人獎,攝影獎,陳克勤／公視人生劇展--告別（報名單位：興揚電影有限公司、製作單位：興揚電影有限公司）
106,個人獎,剪輯獎,李俊宏／公視新創電影 最後的詩句（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,個人獎,音效獎,盧律銘、簡豐書／植劇場《天黑請閉眼》（報名單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司／好風光創意執行股份有限公司）
106,個人獎,燈光獎,劉宸瑋／公視新創電影 濁流（報名單位：綺影映畫有限公司、製作單位：綺影映畫有限公司）
106,個人獎,美術設計獎,王冠懿、張軼峰／公視新創電影 最後的詩句（報名單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
106,節目創新獎,節目創新獎,水下三十米（參賽者：李景白、製作單位：動能意像製作有限公司）
106,特別獎項（得主）,終身成就獎,林福地先生
106,特別獎項（得主）,特殊貢獻獎,丁松筠先生
107,節目獎,戲劇節目獎,植劇場-花甲男孩轉大人（參賽單位：好風光創意執行股份有限公司、製作單位：氧氣電影有限公司）
107,節目獎,迷你劇集獎,他們在畢業的前一天爆炸2（參賽單位：財團法人公共電視文化事業基金會、製作單位：一期一會影像製作有限公司）
107,節目獎,電視電影獎,公視人生劇展-青苔（參賽單位：魚禾草影像有限公司、製作單位：魚禾草影像有限公司）
107,節目獎,自然科學紀實節目獎,驚奇！博物館（參賽單位：臺灣電視事業股份有限公司、製作單位：臺灣電視事業股份有限公司）
107,節目獎,人文紀實節目獎,極樂世界（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
107,節目獎,兒童少年節目獎,下課花路米-同理心大考驗系列（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
107,節目獎,生活風格節目獎,我是留台幫（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
107,節目獎,綜藝節目獎,閃亮的年代 Yesterday Once More（參賽單位：財團法人公共電視文化事業基金會、製作單位：財團法人公共電視文化事業基金會）
107,節目獎,益智及實境節目獎,天才衝衝衝（參賽單位：中華電視股份有限公司、製作單位：金是傳媒行銷企業有限公司）
107,節目獎,動畫節目獎,講麼个故事（參賽單位：客家電視台、製作單位：客家電視台）
107,個人獎,戲劇節目男主角獎,盧廣仲／植劇場-花甲男孩轉大人（報名單位：好風光創意執行股份有限公司、製作單位：氧氣電影有限公司）
107,個人獎,戲劇節目女主角獎,黃姵嘉／客家劇場–台北歌手（報名單位：客家電視台、製作單位：內容物數位電影製作有限公司）
107,個人獎,戲劇節目男配角獎,劉冠廷／植劇場-花甲男孩轉大人（報名單位：好風光創意執行股份有限公司、製作單位：氧氣電影有限公司）
107,個人獎,戲劇節目女配角獎,楊小黎／客家劇場–台北歌手（報名單位：客家電視台、製作單位：內容物數位電影製作有限公司）
107,個人獎,戲劇節目新進演員獎,盧廣仲／植劇場-花甲男孩轉大人（報名單位：好風光創意執行股份有限公司、製作單位：氧氣電影有限公司）
