年度,類別,獎項,得獎名單
108,個人獎,生活風格節目主持人獎,蔣偉文／蔣公廚房（報名單位：中國廣播股份有限公司）
108,個人獎,社區節目主持人獎,林清盛／熱情東海岸（報名單位：財團法人太魯閣之音廣播事業基金會）
108,個人獎,企劃編撰獎,內克【吳宇軒】、Amy【丁宛臻】、Xavier【馬鴻裕】、謙謙【徐瑋謙】／告白（報名單位：內政部警政署警察廣播電臺）
108,個人獎,音效獎,陳文彬／臺北都會劇場-一夜新娘（報名單位：臺北廣播電臺）
108,廣告獎,商品類廣告獎,大昌樂器行-情緒篇（參賽單位：王子音樂出版社）
108,廣告獎,非商品類廣告獎,電台父親節形象廣告-蔡傑爸-全職爸爸篇（參賽單位：好家庭廣播股份有限公司）
108,電臺品牌行銷創新獎,電臺品牌行銷創新獎,【元宵在一起‧台北101就在917】（參賽單位：台北流行廣播股份有限公司）
108,創新研發應用獎,創新研發應用獎,鄭明祈、郭欽元、陳俊諭／發射機運轉之物聯網系統開發（報名單位：行政院農業委員會漁業署漁業廣播電臺）
108,特別獎項,特別獎項,從缺
109,節目獎,流行音樂節目獎,Street Voice未來進行式（參賽單位：飛碟廣播股份有限公司）
109,節目獎,類型音樂節目獎,Jazz Supreme 爵士‧無所不在（參賽單位：財團法人台北勞工教育電台基金會）
109,節目獎,教育文化節目獎,雁子飛過台三線（參賽單位：財團法人客家公共傳播基金會）
109,節目獎,兒童節目獎,地球探險號（參賽單位：國立教育廣播電臺）
109,節目獎,少年節目獎,發現新鮮“市”（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,社會關懷節目獎,礙運動（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,藝術文化節目獎,生活AGOGO-說在地的故事（參賽單位：全國廣播股份有限公司）
109,節目獎,生活風格節目獎,食隨滋味（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,社區節目獎,諸羅采風（參賽單位：正聲廣播股份有限公司嘉義廣播電臺）
109,節目獎,廣播劇獎,人生想想劇場（參賽單位：財團法人中央廣播電臺）
109,節目獎,單元節目獎,台灣幸福進行曲（參賽單位：好家庭廣播股份有限公司）
109,個人獎,流行音樂節目主持人獎,小樹／Street Voice未來進行式（報名單位：飛碟廣播股份有限公司）
109,個人獎,類型音樂節目主持人獎,徐崇育／Jazz Supreme 爵士‧無所不在（報名單位：財團法人台北勞工教育電台基金會）
109,個人獎,教育文化節目主持人獎,范欽慧／自然筆記（報名單位：國立教育廣播電臺）
109,個人獎,兒童節目主持人獎,依娜【黃怡馨】、Deborah【李諾亞】／大腳逛世界（報名單位：內政部警政署警察廣播電臺）
109,個人獎,少年節目主持人獎,端端【陳端慧】／青春創學院（報名單位：國立教育廣播電臺）
109,個人獎,社會關懷節目主持人獎,尚恩【黃彥翔】、倚樂【陳怡蓓】、旁白哥【孫銘宏】、Manga【吳曼嘉】／礙運動（報名單位：內政部警政署警察廣播電臺）
109,個人獎,藝術文化節目主持人獎,端端【陳端慧】／世界夢想表演廳（報名單位：國立教育廣播電臺）
109,個人獎,生活風格節目主持人獎,流氓阿德【黃永德】／全世界最亮的光（報名單位：財團法人中央廣播電臺）
109,個人獎,社區節目主持人獎,楊長順／日出的所在（報名單位：正聲廣播股份有限公司雲林廣播電臺）
109,個人獎,企劃編撰獎,奇林Michael【林祺宏】、徐凡【徐豫梅】、董娘【董麗琴】、林彥伯、黃裕元、林佩蓉、Joey【劉怡彣】、咪可Miko【李虹靚】／寶島記事簿（報名單位：國立教育廣播電臺）
109,個人獎,音效獎,吳坤龍、蔡怡雯、林憲鋐／假日聽電影（報名單位：正聲廣播股份有限公司高雄廣播電臺）
109,廣告獎,商品類廣告獎,昇達輪胎無所不在 一路向前守護全台（參賽單位：正聲廣播股份有限公司臺北廣播  電臺）
109,廣告獎,非商品類廣告獎,防疫宣導（參賽單位：灰姑娘音樂製作有限公司）
109,電臺品牌行銷創新獎,電臺品牌行銷創新獎,【疫情平安 一起平安】廣播與數位專題影音展（參賽單位：好家庭廣播股份有限公司）
109,創新研發應用獎,創新研發應用獎,國立教育廣播電臺／數位化廣播體驗-麥寶電波行動錄音室（報名單位：國立教育廣 播電臺）
109,特別獎項,特別獎項,從缺
